Postal code,Town,City/Town/Subdivision,Subdivision of
2000,Antwerp,City,
2018,Antwerp,City,
2020,Antwerp,City,
2030,Antwerp,City,
2040,Zandvliet,Subdivision,2000 Antwerp
2040,Berendrecht,Subdivision,2000 Antwerp
2040,Antwerp,City,
2040,Lillo,Subdivision,2000 Antwerp
2050,Antwerp,City,
2060,Antwerp,City,
2070,Burcht,Subdivision,2070 Zwijndrecht
2070,Zwijndrecht,Town,
2100,Deurne,Subdivision,2000 Antwerp
2110,Wijnegem,Town,
2140,Borgerhout,Subdivision,2000 Antwerp
2150,Borsbeek,Subdivision,2000 Antwerp
2160,Wommelgem,Town,
2170,Merksem,Subdivision,2000 Antwerp
2180,Ekeren,Subdivision,2000 Antwerp
2200,Morkhoven,Subdivision,2200 Herentals
2200,Herentals,City,
2200,Noorderwijk,Subdivision,2200 Herentals
2220,Heist-op-den-Berg,Town,
2220,Hallaar,Subdivision,2220 Heist-op-den-Berg
2221,Booischot,Subdivision,2220 Heist-op-den-Berg
2222,Itegem,Subdivision,2220 Heist-op-den-Berg
2222,Wiekevorst,Subdivision,2220 Heist-op-den-Berg
2223,Schriek,Subdivision,2220 Heist-op-den-Berg
2230,Ramsel,Subdivision,2230 Herselt
2230,Herselt,Town,
2235,Houtvenne,Subdivision,2235 Hulshout
2235,Hulshout,Town,
2235,Westmeerbeek,Subdivision,8650 Houthulst
2240,Viersel,Subdivision,2240 Zandhoven
2240,Zandhoven,Town,
2240,Massenhoven,Subdivision,2240 Zandhoven
2242,Pulderbos,Subdivision,2240 Zandhoven
2243,Pulle,Subdivision,2240 Zandhoven
2250,Olen,Town,
2260,Zoerle-Parwijs,Subdivision,2260 Westerlo
2260,Westerlo,Town,
2260,Oevel,Town,2260 Westerlo
2260,Tongerlo,Subdivision,2260 Westerlo
2270,Herenthout,Town,
2275,Wechelderzande,Subdivision,2275 Lille
2275,Poederlee,Subdivision,2275 Lille
2275,Gierle,Subdivision,2275 Lille
2275,Lille,Town,
2280,Grobbendonk,Town,
2288,Bouwel,Subdivision,2280 Grobbendonk
2290,Vorselaar,Town,
2300,Turnhout,City,
2310,Rijkevorsel,Town,
2320,Hoogstraten,City,
2321,Meer,Subdivision,2320 Hoogstraten
2322,Minderhout,Subdivision,2320 Hoogstraten
2323,Wortel,Subdivision,2320 Hoogstraten
2328,Meerle,Subdivision,2320 Hoogstraten
2330,Merksplas,Town,
2340,Beerse,Town,
2340,Vlimmeren,Subdivision,2340 Beerse
2350,Vosselaar,Town,
2360,Oud-Turnhout,Town,
2370,Arendonk,Town,
2380,Ravels,Town,
2381,Weelde,Subdivision,2380 Ravels
2382,Poppel,Subdivision,2380 Ravels
2387,Baarle-Hertog,Town,
2390,Oostmalle,Subdivision,2390 Malle
2390,Malle,Town,
2390,Westmalle,Subdivision,2390 Malle
2400,Mol,Town,
2430,Eindhout,Subdivision,2430 Laakdal
2430,Laakdal,Town,
2430,Vorst,Subdivision,2430 Laakdal
2431,Varendonk,Subdivision,2430 Laakdal
2431,Veerle,Subdivision,2430 Laakdal
2440,Geel,City,
2450,Meerhout,Town,
2460,Lichtaart,Subdivision,2460 Kasterlee
2460,Kasterlee,Town,
2460,Tielen,Subdivision,2460 Kasterlee
2470,Retie,Town,
2480,Dessel,Town,
2490,Balen,Town,
2491,Olmen,Subdivision,2490 Balen
2500,Lier,City,
2500,Koningshooikt,Subdivision,2500 Lier
2520,Ranst,Town,
2520,Emblem,Subdivision,2520 Ranst
2520,Broechem,Subdivision,2520 Ranst
2520,Oelegem,Subdivision,2520 Ranst
2530,Boechout,Town,
2531,Vremde,Subdivision,2530 Boechout
2540,Hove,Town,
2547,Lint,Town,
2550,Kontich,Town,
2550,Waarloos,Subdivision,2550 Kontich
2560,Bevel,Subdivision,2560 Nijlen
2560,Nijlen,Town,
2560,Kessel,Subdivision,2560 Nijlen
2570,Duffel,Town,
2580,Putte,Town,
2580,Beerzel,Subdivision,2580 Putte
2590,Berlaar,Town,
2590,Gestel,Subdivision,2590 Berlaar
2600,Berchem,Subdivision,2000 Antwerp
2610,Wilrijk,Subdivision,2000 Antwerp
2620,Hemiksem,Town,
2627,Schelle,Town,
2630,Aartselaar,Town,
2640,Mortsel,Town,
2650,Edegem,Town,
2660,Hoboken,Subdivision,2000 Antwerp
2800,Mechelen,City,
2800,Walem,Subdivision,2800 Mechelen
2801,Heffen,Subdivision,2800 Mechelen
2811,Leest,Subdivision,2800 Mechelen
2811,Hombeek,Subdivision,2800 Mechelen
2812,Muizen,Subdivision,2800 Mechelen
2820,Bonheiden,Town,
2820,Rijmenam,Subdivision,2820 Bonheiden
2830,Heindonk,Subdivision,2830 Willebroek
2830,Blaasveld,Subdivision,2830 Willebroek
2830,Willebroek,Town,
2830,Tisselt,Subdivision,2830 Willebroek
2840,Reet,Subdivision,2840 Rumst
2840,Terhagen,Subdivision,2840 Rumst
2840,Rumst,Town,
2845,Niel,Town,
2850,Boom,Town,
2860,Sint-Katelijne-Waver,Town,
2861,Onze-Lieve-Vrouw-Waver,Subdivision,2860 Sint-Katelijne-Waver
2870,Breendonk,Subdivision,2870 Puurs
2870,Liezele,Subdivision,2870 Puurs
2870,Ruisbroek,Subdivision,2870 Puurs
2870,Puurs,Town,
2880,Hingene,Subdivision,2880 Bornem
2880,Bornem,Town,
2880,Weert,Subdivision,2880 Bornem
2880,Mariekerke,Subdivision,2880 Bornem
2890,Sint-Amands,Town,
2890,Oppuurs,Subdivision,2890 Sint-Amands
2890,Lippelo,Subdivision,2890 Sint-Amands
2900,Schoten,Town,
2910,Essen,Town,
2920,Kalmthout,Town,
2930,Brasschaat,Town,
2940,Stabroek,Town,
2940,Hoevenen,Subdivision,2940 Stabroek
2950,Kapellen,Town,
2960,Sint-Job-in-'t-Goor,Subdivision,2960 Brecht
2960,Sint-Lenaarts,Subdivision,2960 Brecht
